loan_id,customer_id,loan_type,loan_amount,interest_rate,start_date,status
L00136,C00775,Personal,425473.36,12.56,11-03-2024,Closed
L00137,C08946,Home,2166585.53,11.83,09-01-2022,Closed
L00138,C00933,Car,691738.43,7.54,12-08-2022,Closed
L00139,C06855,Home,3743562.36,13.67,05-06-2021,Active
L00140,C11339,Home,1075318.33,12.35,17-01-2024,Active
L00141,C09703,Car,4532968.42,14.66,16-06-2023,Active
L00142,C06674,Home,2248792.76,10.39,23-06-2024,Closed
L00143,C05115,Car,536122.49,14.75,15-05-2021,Closed
L00144,C10206,Home,2760263.41,8.24,02-11-2025,Closed
L00145,C08619,Car,2957928.19,12.24,19-01-2022,Closed
L00146,C03241,Personal,360665.87,11.31,04-06-2022,Closed
L00147,C04066,Personal,3438767.13,10.82,25-06-2025,Active
L00148,C01178,Car,4421234.91,9.73,24-01-2023,Closed
L00149,C02435,Personal,681841.42,8.1,22-05-2022,Closed
L00150,C09946,Home,3967013.19,8.03,14-09-2025,Closed
L00151,C08900,Personal,422210.67,8.83,17-01-2022,Closed
L00152,C02614,Car,1252685.57,14.98,03-04-2022,Closed
L00153,C01564,Home,3397725.35,8.95,03-05-2023,Closed
L00154,C10222,Home,514904.42,14.44,18-12-2022,Active
L00155,C02380,Car,873106.76,8.74,22-02-2022,Closed
L00156,C11125,Personal,2837135.81,11.53,26-02-2023,Active
L00157,C06932,Car,3547295.16,10.21,02-03-2022,Active
L00158,C10153,Car,1168462.91,13.33,05-05-2023,Active
L00159,C10502,Personal,2023858.28,14.28,30-07-2025,Active
L00160,C06891,Home,2967457.88,14.03,06-06-2021,Active
L00161,C07501,Home,2426666.57,9.98,08-09-2025,Closed
L00162,C10098,Home,441271.59,8.15,19-12-2022,Active
L00163,C09955,Home,3833952.82,7.69,04-07-2025,Active
L00164,C01654,Home,4396018.49,10.03,11-03-2022,Closed
L00165,C10885,Car,4128496.74,11.33,10-07-2025,Closed
L00166,C07185,Car,2763157.52,10.41,09-05-2024,Closed
L00167,C10954,Personal,3078408.46,14.62,16-08-2023,Active
L00168,C08657,Personal,2428538.91,12.66,11-07-2025,Active
L00169,C10335,Car,3151461.44,14.18,17-09-2024,Closed
L00170,C10471,Car,548769.81,7.78,30-07-2021,Active
L00171,C09993,Home,3387575.65,9.49,02-05-2022,Active
L00172,C01262,Personal,3886823.81,13.23,01-01-2026,Closed
L00173,C10604,Personal,3459051.81,10.24,26-03-2026,Active
L00174,C02390,Car,4057653.66,11.8,27-04-2025,Closed
L00175,C06814,Personal,1568246.05,12.08,25-12-2024,Closed
L00176,C03723,Home,958354.54,7.38,26-05-2022,Closed
L00177,C01735,Car,4930828.63,7.26,20-05-2023,Active
L00178,C02005,Car,523212.22,13.86,03-10-2022,Closed
L00179,C10176,Car,3841708.84,8.04,14-05-2023,Active
L00180,C08101,Car,4796768.56,11.5,14-04-2026,Closed
L00181,C06379,Home,4731421.96,14.06,08-11-2024,Closed
L00182,C10973,Car,4135525.74,14.52,13-03-2026,Active
L00183,C02517,Personal,2333870.07,7.62,05-11-2021,Active
L00184,C11153,Personal,258789.39,10.28,03-08-2025,Active
L00185,C02615,Home,664892.67,10.08,29-03-2025,Closed
L00186,C00821,Car,4969967.25,10.54,09-08-2024,Closed
L00187,C07972,Personal,1923764.44,8,19-12-2024,Active
L00188,C05512,Home,4355156.18,9.99,26-03-2023,Closed
L00189,C00376,Home,1270001.35,9.75,19-06-2025,Closed
L00190,C00324,Home,1435729.72,8.75,29-06-2025,Closed
L00191,C06269,Personal,4038441.96,12.62,17-10-2023,Active
L00192,C06048,Personal,391742.18,7.37,27-07-2021,Active
L00193,C09992,Car,2245274.37,11.09,28-06-2024,Active
L00194,C00043,Personal,3170105.62,11.36,08-03-2023,Active
L00195,C03039,Personal,982256.15,12.99,12-01-2022,Closed
L00196,C06244,Personal,1963575.93,8.61,17-08-2021,Closed
L00197,C07660,Home,2129973.7,11.71,22-12-2021,Closed
L00198,C03814,Car,891538.11,11.53,08-04-2022,Closed
L00199,C07250,Car,2420158.31,11.17,14-04-2026,Active
L00200,C00449,Home,286702.39,11.33,07-10-2025,Closed
L00201,C04941,Home,4389464.47,9.47,07-09-2024,Closed
L00202,C05526,Car,2688417.56,13.13,23-03-2025,Closed
L00203,C06773,Personal,1533490.9,14.84,26-11-2024,Active
L00204,C07022,Home,2651405.28,14.94,04-02-2026,Closed
L00205,C04953,Home,2596593.44,14.17,11-11-2025,Closed
L00206,C11981,Car,692861.84,9.3,02-04-2024,Closed
L00207,C08296,Home,3307649.6,10.31,11-08-2024,Closed
L00208,C07239,Car,1360155.36,14.06,16-02-2023,Closed
L00209,C08873,Home,4932677.29,7.91,26-04-2024,Closed
L00210,C01006,Car,3453192.26,14.83,18-06-2024,Closed
L00211,C04060,Home,2772293.78,11.98,04-07-2024,Closed
L00212,C00675,Car,1822697.46,13.97,22-02-2025,Closed
L00213,C06249,Home,4195713.09,12.04,17-02-2026,Closed
L00214,C03612,Home,2778585.78,8.48,05-08-2021,Closed
L00215,C09904,Personal,4473684.45,9.93,01-10-2025,Active
L00216,C02971,Personal,4701828.64,7.66,15-03-2022,Closed
L00217,C05478,Personal,2608909.55,9.46,06-06-2023,Closed
L00218,C10082,Personal,3968842.39,14.72,30-11-2024,Closed
L00219,C00442,Car,3690544.69,14.3,05-09-2022,Closed
L00220,C01939,Home,444789.88,13.11,13-06-2022,Active
L00221,C03894,Home,4713440.06,13.21,25-12-2022,Active
L00222,C11018,Car,173492.06,14.42,14-03-2025,Closed
L00223,C00570,Car,2320110.68,13.55,26-06-2023,Closed
L00224,C04731,Personal,1911383.86,14.62,25-06-2024,Active
L00225,C01298,Personal,4143599.3,14.54,22-04-2025,Closed
L00226,C11064,Home,1656462.62,13.54,29-10-2022,Closed
L00227,C00016,Car,586000.49,14.72,04-04-2022,Closed
L00228,C02113,Car,473795.22,12.44,04-11-2025,Closed
L00229,C03823,Personal,1771985.69,14.09,25-12-2022,Active
L00230,C08834,Personal,969247.62,11.15,27-06-2024,Active
L00231,C09570,Personal,1154786.55,12.91,06-03-2024,Closed
L00232,C00422,Car,1912453.44,14.17,20-10-2022,Closed
L00233,C03506,Home,2519220.73,13.33,20-06-2023,Active
L00234,C09815,Home,3922001.29,8.32,20-07-2024,Active
L00235,C07532,Home,3184802.19,14.73,17-04-2022,Closed
L00236,C00441,Car,4336662.79,11.84,18-01-2026,Closed
L00237,C03528,Home,3214963.51,10.08,08-12-2023,Closed
L00238,C07489,Personal,4468484.28,12.52,01-07-2022,Active
L00239,C04089,Car,1069707.16,9.79,31-10-2021,Active
L00240,C08275,Car,4677583.3,7.84,06-07-2021,Active
L00241,C10634,Car,4904192.72,10.48,04-03-2023,Closed
L00242,C07590,Home,2744786.03,11.2,05-01-2023,Closed
L00243,C10928,Personal,1152358.67,13.75,05-11-2024,Closed
L00244,C04914,Car,4017099.58,13.81,29-02-2024,Closed
L00245,C11479,Home,346985.08,10.29,23-05-2021,Active
L00246,C05081,Home,-3057278.49,11.46,19-08-2024,Active
L00247,C06172,Car,4457471.56,13.16,02-08-2025,Active
L00248,C08932,Home,380232.89,10.72,13-11-2021,Active
L00249,C08518,Home,3413877.46,9.83,20-05-2024,Active
L00250,C03283,Personal,3558346.01,9.94,07-01-2024,Active
L00251,C01048,Personal,3223977.9,10.74,05-12-2022,Active
L00252,C02265,Home,3020344.27,8.3,30-12-2022,Closed
L00253,C05816,Home,945427.59,8.43,13-10-2022,Closed
L00254,C09897,Personal,146091.52,11.26,26-03-2025,Active
L00255,C05269,Personal,3189917.06,13.62,04-06-2021,Active
L00256,C01173,Home,3598274.48,8.91,07-03-2022,Closed
L00257,C05750,Personal,3880071.65,13.25,16-05-2025,Closed
L00258,C10380,Car,3972296.66,13.64,04-11-2021,Active
L00259,C02180,Car,1021424.97,8.85,24-12-2025,Closed
L00260,C00444,Personal,1508759.12,9.21,24-11-2023,Active
L00261,C09663,Home,4326854.16,7.8,17-07-2024,Closed
L00262,C06366,Personal,2460034.8,8.8,19-09-2024,Closed
L00263,C10871,Home,3849305.5,7.95,27-01-2025,Active
L00264,C03635,Home,3334908.47,14.26,13-06-2025,Closed
L00265,C00174,Personal,3281824.52,9.57,19-02-2023,Closed
L00266,C05516,Personal,1062028.04,10.68,14-08-2025,Active
L00267,C05143,Home,444430.85,12.78,12-02-2026,Active
L00268,C06042,Personal,1806387.57,13.76,22-05-2021,Closed
L00269,C10128,Car,2284408.54,11.06,30-05-2024,Active
L00270,C00561,Home,4404313.4,9.48,25-10-2022,Active
L00271,C03443,Car,1592225.72,8.22,30-10-2025,Active
L00272,C09368,Personal,426388.89,9.01,04-07-2023,Active
L00273,C03828,Home,3080812.18,12.61,27-04-2022,Active
L00274,C02433,Car,329948.54,12.64,28-07-2023,Active
L00275,C11917,Home,1520736.77,9.73,18-02-2025,Active
L00276,C03087,Personal,3241646.71,13.37,06-01-2025,Active
L00277,C06059,Home,1678707.29,13.48,06-03-2026,Active
L00278,C06336,Personal,2878544.01,12.43,15-01-2023,Closed
L00279,C04123,Personal,1213614.62,7.89,27-10-2024,Active
L00280,C05448,Home,2729948.16,8.23,13-03-2024,Closed
L00281,C03819,Home,2865067.84,14.15,13-08-2021,Active
L00282,C08953,Personal,277572.53,8.85,10-03-2026,Closed
L00283,C09461,Car,4273283.83,10.8,28-05-2022,Closed
L00284,C02759,Car,4151068.37,9.75,08-05-2022,Closed
L00285,C09869,Car,3410754.68,11.69,20-12-2024,Closed
L00286,C08232,Home,4187386.3,8.07,08-06-2021,Active
L00287,C07960,Home,3850138.78,9.27,16-08-2021,Closed
L00288,C00443,Car,4855939.06,9.61,15-03-2026,Closed
L00289,C04075,Personal,382752.29,12.01,03-09-2024,Active
L00290,C09111,Home,1959400.52,8.78,11-10-2025,Closed
L00291,C07662,Personal,2687343.04,8.13,15-05-2021,Closed
L00292,C00786,Home,958081.55,14.57,16-05-2022,Active
L00293,C07321,Home,1260252.65,14.29,19-07-2022,Active
L00294,C05907,Car,65167.36,12.91,07-09-2021,Closed
L00295,C02562,Home,1072508.6,12.34,11-08-2025,Closed
L00296,C04748,Personal,607233.5,9.22,12-10-2022,Closed
L00297,C04326,Personal,932761.17,14.28,01-07-2025,Active
L00298,C10667,Car,4847824.63,14.11,21-08-2025,Active
L00299,C01778,Car,1389069.88,10.11,20-01-2025,Closed
L00300,C10030,Car,3099089.83,10.61,07-08-2024,Active
L00301,C02262,Home,3870982.93,7.58,02-04-2023,Closed
L00302,C04765,Personal,831395.67,8.4,23-01-2025,Closed
L00303,C04822,Personal,400423.75,12.67,28-08-2021,Closed
L00304,C05302,Personal,911915.69,13.91,31-01-2023,Active
L00305,C03877,Home,3546943.91,14.62,09-02-2023,Closed
L00306,C10196,Home,1387602.46,9.58,01-12-2025,Closed
L00307,C11698,Car,723244.5,11.81,15-09-2022,Closed
L00308,C08320,Personal,4979763.84,10.34,07-03-2023,Active
L00309,C10845,Home,2020213.87,9.33,23-03-2022,Closed
L00310,C10736,Car,1549525.22,13.44,27-04-2026,Active
L00311,C09797,Personal,4372347.41,8.17,25-06-2022,Closed
L00312,C07704,Personal,596819.08,8.04,03-08-2024,Closed
L00313,C03942,Car,780735.81,13.67,19-01-2024,Active
L00314,C07554,Car,3687241.29,13.64,06-05-2025,Closed
L00315,C00156,Car,2511745.08,9.51,01-10-2024,Active
L00316,C00966,Home,1288692.33,9.22,02-03-2022,Active
L00317,C01426,Personal,1945642.35,13.78,22-07-2021,Active
L00318,C01968,Car,3186080.27,7.92,10-06-2023,Active
L00319,C01588,Car,3610295.59,10.6,06-11-2023,Active
L00320,C01616,Personal,3333784.47,8.04,21-07-2024,Closed
L00321,C04593,Home,411572.16,12.19,16-07-2025,Active
L00322,C11820,Personal,3714863.71,14.42,17-03-2025,Closed
L00323,C01682,Home,2608324.46,10,31-01-2024,Closed
L00324,C07009,Personal,2095586.37,11.03,04-08-2023,Active
L00325,C06986,Personal,2797554.44,14.05,11-08-2024,Closed
L00326,C10923,Home,59741.67,10.97,30-07-2025,Closed
L00327,C09453,Home,129903.74,12.61,25-10-2022,Active
L00328,C01419,Car,2511172.81,13.39,23-03-2026,Closed
L00329,C06821,Car,1814745.89,14.46,26-12-2025,Closed
L00330,C04844,Car,837892.57,12.95,08-12-2023,Active
L00331,C08503,Home,1926699.33,14.48,04-03-2022,Active
L00332,C03076,Car,4914153.78,11.11,30-07-2024,Active
L00333,C11183,Home,799111.27,13.21,25-12-2024,Active
L00334,C09225,Car,4404275.55,12.47,12-01-2024,Closed
L00335,C00748,Car,1741855.73,13.51,24-09-2025,Closed
L00336,C08100,Car,1259760.67,8.2,09-05-2021,Closed
L00337,C03627,Personal,3476873.73,14.69,16-08-2021,Closed
L00338,C05746,Personal,3309681.78,14.49,25-06-2021,Closed
L00339,C08819,Car,2851256.95,8.35,02-12-2021,Closed
L00340,C05572,Personal,686892.35,12.03,17-08-2024,Active
L00341,C01034,Car,3191337.85,9.03,07-05-2023,Active
L00342,C05576,Personal,3854684.45,13.51,02-02-2025,Active
L00343,C03406,Home,4955750.72,9.47,08-10-2023,Active
L00344,C06845,Home,3129342.18,14.39,17-05-2025,Active
L00345,C03697,Home,3536994.99,10.81,30-11-2025,Active
L00346,C03665,Personal,319962.18,13.3,22-05-2023,Active
L00347,C02196,Car,4249601.26,8.86,21-03-2026,Closed
L00348,C03446,Car,267416.33,14.19,16-08-2021,Active
L00349,C09272,Personal,3992219.87,12.84,25-12-2024,Active
L00350,C05149,Home,710304.89,14.9,05-04-2024,Active
L00351,C03647,Car,1647325.35,8.03,14-07-2025,Closed
L00352,C04763,Home,1944243.57,7.66,10-12-2024,Active
L00353,C04815,Personal,746574.39,11.47,07-07-2022,Active
L00354,C11760,Car,3701259.91,10.17,10-01-2024,Closed
L00355,C01684,Personal,281945.93,12.73,04-08-2021,Active
L00356,C03087,Car,4420827.04,8.66,07-05-2024,Closed
L00357,C08474,Car,2677729.07,8.82,21-11-2023,Active
L00358,C03927,Home,4242734.22,14.56,18-12-2022,Active
L00359,C02739,Home,4838276.97,14.78,20-10-2025,Active
L00360,C01967,Car,4125492.41,8.24,15-11-2025,Closed
L00361,C08216,Home,4170320.52,8.73,21-10-2024,Closed
L00362,C05283,Personal,4961618.03,10.74,08-06-2021,Closed
L00363,C04501,Home,4763131.61,7.72,20-08-2023,Active
L00364,C07586,Home,690025.19,13.24,13-09-2021,Active
L00365,C11478,Home,1211202,7.04,10-08-2025,Active
L00366,C02098,Home,3852235.9,10.28,29-08-2025,Closed
L00367,C07018,Home,1390987.85,10.3,15-05-2025,Closed
L00368,C01291,Personal,2717822.35,10.96,28-12-2023,Active
L00369,C05950,Car,2037027.51,12.12,26-04-2025,Closed
L00370,C03267,Car,528566.53,7.97,14-12-2023,Closed
L00371,C01151,Personal,1035882.92,7.85,07-10-2024,Active
L00372,C04725,Personal,3429515.43,14.16,18-07-2021,Closed
L00373,C06570,Home,4184237.48,9.54,10-02-2022,Closed
L00374,C01213,Car,2905195.04,11.65,20-08-2021,Active
L00375,C07354,Car,4811242.68,14.43,25-12-2023,Active
L00376,C11706,Home,4975101.61,11.47,14-07-2023,Closed
L00377,C10158,Car,3226054.92,13.68,05-01-2025,Active
L00378,C09873,Car,1336206.86,11.29,17-05-2021,Closed
L00379,C03404,Personal,2954234.04,12.22,13-04-2024,Active
L00380,C10071,Home,4689401.96,11.24,17-12-2021,Closed
L00381,C10164,Personal,266080.79,12.98,20-09-2024,Closed
L00382,C00784,Home,1769469.2,14.08,25-08-2021,Closed
L00383,C02465,Personal,3461089.61,14.21,06-02-2024,Active
L00384,C10519,Home,4344676.36,14.67,09-11-2024,Active
L00385,C05319,Home,4988100.4,9.35,25-01-2026,Closed
L00386,C08821,Car,-4253546,13.18,23-11-2024,Active
L00387,C07490,Personal,3836056.7,13.1,09-05-2023,Closed
L00388,C01123,Personal,3080340.9,14.7,08-06-2025,Active
L00389,C02664,Home,1945577.68,7.1,10-10-2024,Active
L00390,C04870,Car,2697234.46,14.45,18-12-2025,Closed
L00391,C11579,Personal,1987569.9,14.41,02-01-2024,Active
L00392,C11262,Car,2388399.42,8.52,23-04-2022,Active
L00393,C02157,Home,1771867.17,11.64,03-09-2023,Closed
L00394,C04418,Personal,1498063.48,14.57,17-07-2021,Active
L00395,C10745,Home,2885591.88,9.48,04-03-2025,Active
L00396,C11144,Personal,3997943.04,11.02,19-08-2021,Closed
L00397,C07700,Personal,2383431.72,9.18,07-10-2022,Active
L00398,C03355,Personal,1871010.91,11.04,12-02-2025,Closed
L00399,C04440,Car,2251620.63,7.13,01-02-2023,Closed
L00400,C01682,Personal,4328046.38,7.54,09-05-2023,Closed
L00401,C02512,Personal,1208739.18,11.33,05-01-2025,Closed
L00402,C09332,Home,4180078.72,8.03,22-10-2022,Active
L00403,C09291,Personal,3233670.5,8.05,29-04-2025,Active
L00404,C08498,Home,2980868.46,13.76,21-06-2021,Active
L00405,C08182,Car,3258223.53,13.37,02-07-2022,Closed
L00406,C06857,Home,1549027.41,9.08,09-12-2024,Active
L00407,C03223,Car,3788188.16,8.12,12-08-2025,Active
L00408,C08082,Car,4584949.29,13.94,19-11-2022,Closed
L00409,C05000,Car,617104.7,11.52,03-02-2024,Closed
L00410,C10884,Personal,4305605.54,9.32,07-05-2024,Closed
L00411,C09741,Personal,3147310.5,10.2,17-10-2023,Active
L00412,C08773,Car,3968099.77,9.81,04-08-2025,Active
L00413,C06436,Car,470708.77,13.72,12-05-2021,Closed
L00414,C06026,Home,1363674.33,10.99,21-02-2023,Active
L00415,C05298,Home,4142823.12,13.77,14-11-2024,Closed
L00416,C00484,Personal,2393254.13,13.53,02-12-2023,Active
L00417,C03547,Personal,4717139.96,8.52,01-12-2024,Closed
L00418,C05362,Car,2111737.1,14.01,25-08-2025,Active
L00419,C05248,Home,2015570.4,14.43,29-05-2023,Active
L00420,C10373,Car,1843078.11,10.19,17-11-2023,Active
L00421,C07524,Home,303469.79,7.1,14-02-2025,Active
L00422,C08481,Personal,1675245.89,11.22,23-02-2023,Closed
L00423,C11353,Car,1745781.06,12.48,05-10-2025,Active
L00424,C07589,Personal,2136478.41,13.15,24-09-2021,Active
L00425,C01368,Personal,1318287.68,7.89,13-09-2025,Closed
L00426,C05659,Car,2825505.09,13.61,26-07-2025,Active
L00427,C06004,Personal,1254670.03,13.45,12-12-2021,Active
L00428,C07650,Car,3684385.65,8.65,09-04-2025,Active
L00429,C10329,Home,1838801.16,10,16-10-2024,Active
L00430,C11906,Home,2402279.28,14.49,08-06-2024,Active
L00431,C03136,Personal,3216963.71,12.57,06-01-2024,Active
L00432,C04022,Personal,179138.73,13.68,31-12-2025,Active
L00433,C00770,Personal,544750.62,11.85,19-02-2026,Closed
L00434,C05975,Home,4866549.01,11.74,05-04-2026,Closed
L00435,C05802,Car,2565471.15,11.85,01-09-2023,Closed
L00436,C10396,Personal,211871.22,9.99,10-09-2023,Active
L00437,C03924,Personal,2917090.24,9.83,20-11-2024,Closed
L00438,C03593,Car,681846.28,14.04,09-08-2022,Closed
L00439,C05502,Home,1717447.53,13.76,04-11-2022,Active
