customer_id,loan_amount,balance
C10691,3124745.59,307703.66
C06725,3121322.27,184464.85
C00780,876453.19,80234.23
C07746,3840750.77,56337.61
C07746,3840750.77,134989.34
C07746,3840750.77,217953.52
C07746,3840750.77,306734.34
C07850,4424072.9,4660.1
C07850,4424072.9,269434.94
C07850,4424072.9,399469.94
C08087,4395053.13,339381.59
C08087,4395053.13,351554.03
C02663,3334583.51,6259.09
C02663,3334583.51,157866.36
C03692,3755159.11,23967.95
C06855,3743562.36,302572.07
C09703,4532968.42,146572.59
C09703,4532968.42,192314.93
C06674,2248792.76,80605.49
C10206,2760263.41,130479.68
C08619,2957928.19,14686.9
C04066,3438767.13,7591.82
C09946,3967013.19,378539.79
C02614,1252685.57,754.98
C01564,3397725.35,293353.94
C06932,3547295.16,155976.48
C06932,3547295.16,168023.73
C06891,2967457.88,8469.87
C07501,2426666.57,81126.47
C07501,2426666.57,216651.01
C09955,3833952.82,228847.55
C09955,3833952.82,252702.12
C01654,4396018.49,-338497.0
C01654,4396018.49,17065.56
C01654,4396018.49,137194.03
C01654,4396018.49,294377.65
C10885,4128496.74,351729.38
C07185,2763157.52,101187.33
C07185,2763157.52,150345.58
C10954,3078408.46,4798.98
C10954,3078408.46,110765.46
C10954,3078408.46,299887.29
C08657,2428538.91,119881.21
C08657,2428538.91,189521.11
C01262,3886823.81,25264.16
C10604,3459051.81,161403.88
C10604,3459051.81,238265.94
C10604,3459051.81,274397.68
C02390,4057653.66,-126471.66
C02390,4057653.66,21010.37
C02390,4057653.66,22726.26
C02390,4057653.66,211873.37
C10176,3841708.84,187226.7
C10176,3841708.84,285614.39
C08101,4796768.56,221237.91
C08101,4796768.56,226330.82
C10973,4135525.74,217359.38
C02517,2333870.07,200214.64
C00821,4969967.25,467692.92
C00043,3170105.62,-183130.25
C06244,1963575.93,161226.63
C07660,2129973.7,43039.56
C07250,2420158.31,-435886.41
C04941,4389464.47,103312.25
C07022,2651405.28,26927.6
C07022,2651405.28,120390.41
C07022,2651405.28,263319.83
C07239,1360155.36,123458.81
C08873,4932677.29,435630.7
C04060,2772293.78,209363.6
C04060,2772293.78,262411.91
C00675,1822697.46,-18562.29
C00675,1822697.46,168913.75
C06249,4195713.09,72646.92
C09904,4473684.45,69878.04
C09904,4473684.45,307978.74
C09904,4473684.45,341619.3
C02971,4701828.64,152564.48
C02971,4701828.64,443634.54
C05478,2608909.55,250168.33
C10082,3968842.39,22946.06
C10082,3968842.39,236921.93
C00442,3690544.69,130046.12
C01939,444789.88,13978.88
C03894,4713440.06,105324.63
C01298,4143599.3,115543.72
C01298,4143599.3,408916.76
C11064,1656462.62,74452.27
C03823,1771985.69,32096.95
C09570,1154786.55,13928.78
C07532,3184802.19,19742.61
C00441,4336662.79,30012.3
C00441,4336662.79,45380.59
C00441,4336662.79,86714.57
C00441,4336662.79,308972.5
C03528,3214963.51,178481.44
C07489,4468484.28,32519.35
C10928,1152358.67,41657.3
C06172,4457471.56,108598.46
C08518,3413877.46,127688.78
C08518,3413877.46,250204.95
C08518,3413877.46,289141.12
C08518,3413877.46,330129.52
C01048,3223977.9,278024.95
C01048,3223977.9,291649.24
C05750,3880071.65,70587.37
C02180,1021424.97,3509.76
C02180,1021424.97,66031.68
C09663,4326854.16,17121.23
C03635,3334908.47,54806.12
C00174,3281824.52,98527.84
C00174,3281824.52,208817.38
C05516,1062028.04,-213628.86
C05516,1062028.04,71245.38
C10128,2284408.54,170892.63
C00561,4404313.4,316900.69
C09368,426388.89,35210.41
C11917,1520736.77,107742.31
C06336,2878544.01,243940.69
C05448,2729948.16,266333.5
C09461,4273283.83,127141.21
C02759,4151068.37,74675.56
C09869,3410754.68,184555.21
C09869,3410754.68,252869.45
C08232,4187386.3,365862.25
C08232,4187386.3,375587.99
C00443,4855939.06,483870.03
C04075,382752.29,14898.27
C07662,2687343.04,2951.03
C07662,2687343.04,13853.24
C09797,4372347.41,21266.26
C07704,596819.08,53538.88
C01968,3186080.27,172484.97
C01588,3610295.59,115370.41
C01588,3610295.59,137885.11
C01616,3333784.47,122078.41
C01682,2608324.46,73164.1
C06986,2797554.44,269810.7
C06821,1814745.89,15270.56
C09225,4404275.55,139085.93
C09225,4404275.55,196561.27
C05746,3309681.78,41379.87
C01034,3191337.85,124038.85
C02196,4249601.26,424515.59
C09272,3992219.87,184973.8
C05149,710304.89,12717.1
C04763,1944243.57,130323.51
C11760,3701259.91,338030.94
C08474,2677729.07,93021.08
C02739,4838276.97,99350.88
C02739,4838276.97,476043.23
C01967,4125492.41,118387.37
C01967,4125492.41,260895.12
C05283,4961618.03,350882.8
C04501,4763131.61,115827.58
C04501,4763131.61,116902.02
C11478,1211202.0,8938.39
C02098,3852235.9,191125.96
C02098,3852235.9,220973.44
C01291,2717822.35,103213.54
C01291,2717822.35,223925.97
C04725,3429515.43,46812.83
C06570,4184237.48,113800.46
C06570,4184237.48,179426.54
C06570,4184237.48,220721.29
C01213,2905195.04,7637.03
C01213,2905195.04,139943.2
C07354,4811242.68,129196.12
C07354,4811242.68,165595.48
C07354,4811242.68,171011.74
C11706,4975101.61,90616.05
C10158,3226054.92,54592.64
C10158,3226054.92,277926.74
C03404,2954234.04,67144.15
C10071,4689401.96,137807.32
C10071,4689401.96,367494.82
C10519,4344676.36,244076.23
C10519,4344676.36,368022.73
C05319,4988100.4,193684.06
C05319,4988100.4,439697.88
C07490,3836056.7,155019.19
C02664,1945577.68,45796.01
C04870,2697234.46,234692.34
C02157,1771867.17,66368.56
C04440,2251620.63,-375211.86
C04440,2251620.63,39152.21
C04440,2251620.63,196663.32
C01682,4328046.38,73164.1
C09291,3233670.5,112195.14
C09291,3233670.5,221230.18
C08182,3258223.53,251541.39
C08082,4584949.29,68083.43
C08082,4584949.29,288509.15
C10884,4305605.54,204398.87
C09741,3147310.5,81324.94
C08773,3968099.77,307795.88
C05298,4142823.12,51632.15
C00484,2393254.13,193098.46
C05362,2111737.1,210548.55
C05248,2015570.4,103253.13
C05248,2015570.4,192451.11
C05659,2825505.09,153286.07
C06004,1254670.03,25505.06
C06004,1254670.03,79243.26
C07650,3684385.65,195601.4
C10329,1838801.16,13545.95
C11906,2402279.28,233074.69
C05802,2565471.15,-92161.14
C07006,3371814.77,29137.84
C01958,4243055.6,232526.3
C01958,4243055.6,241853.3
C08175,4327348.69,172555.42
C08175,4327348.69,210503.44
C11117,947792.72,55470.7
C11996,3071592.0,112060.51
C04400,2492866.87,141224.22
C04400,2492866.87,192264.06
C09725,2924539.26,22014.47
C09725,2924539.26,216003.32
C00545,4676459.38,1735.45
C00545,4676459.38,85138.89
C11583,2614160.41,4392.36
C00195,4083651.32,164139.24
C07380,1353009.8,70798.24
C11145,1810258.65,71796.48
C06547,4350242.11,362381.33
C09264,1966522.52,16885.96
C04574,3745558.44,115531.38
C04574,3745558.44,253336.6
C06299,4827746.66,58918.96
C06299,4827746.66,368398.24
C04610,3214916.44,-66378.46
C04610,3214916.44,890.67
C04610,3214916.44,113087.56
C03500,2267723.12,175428.71
C02022,3804126.84,313965.08
C02199,4638013.31,226680.61
C02199,4638013.31,388270.76
C06520,3780979.06,187863.3
C05265,4857320.44,86362.27
C00300,642287.62,39982.87
C00861,4010242.91,66788.23
C07096,4065718.72,349.59
C09960,2282871.34,547.41
C07330,1196162.37,70748.95
C06896,4278496.54,138880.6
C06896,4278496.54,414042.49
C03508,4475994.6,175535.49
C03508,4475994.6,251090.86
C05788,1616510.11,-208320.06
C05788,1616510.11,19605.4
C05788,1616510.11,156872.55
C02980,3300947.77,277300.83
C02980,3300947.77,300442.13
C03706,2352189.38,167391.7
C06357,3593645.57,213797.21
C06357,3593645.57,252050.06
C00235,4531674.64,367828.78
C01473,4465030.24,79001.85
C01473,4465030.24,392683.99
C02733,4798530.13,443257.88
C11721,1267311.12,105880.33
C09625,3088136.84,208174.07
C04828,323920.73,19903.79
C08068,4507210.87,196645.65
C00262,2628399.98,44149.85
C00262,2628399.98,175361.82
C03886,1864174.15,131265.42
C08772,1315412.48,126112.52
C01513,2817578.45,-94199.41
C01513,2817578.45,196314.08
C04004,3106263.04,77107.77
C06436,4989767.85,92479.82
C07496,4790158.26,216767.28
C08162,3294183.67,82131.01
C05414,2839033.61,-415913.3
C05414,2839033.61,148120.73
C05414,2839033.61,262625.55
C02454,1973255.48,141578.92
C00528,1543828.61,52115.95
C00420,4054355.88,350097.0
C04516,2389137.73,60356.41
C03736,1553578.75,65257.3
C03736,1553578.75,86516.32
C00308,1443763.14,104556.29
C02544,4545077.81,216677.94
C09717,2969592.13,24836.0
C09717,2969592.13,88993.69
C11975,1827727.09,123091.26
C01326,1411421.95,140299.87
C11086,1992874.01,142825.46
C09571,2714186.9,8114.28
C01369,614499.05,602.94
C06818,1399285.32,127352.23
C08564,3051624.26,204164.3
C07429,3573270.95,298442.78
C06925,1811804.89,63921.03
C06989,3208801.78,135681.78
C10102,2966103.49,131187.18
C10102,2966103.49,155396.75
C10102,2966103.49,244805.93
C03079,4433037.79,166380.14
C03079,4433037.79,347510.93
C01553,3607599.9,273290.69
C02988,4802820.58,258.68
C02988,4802820.58,263111.85
C03674,2134445.95,171778.87
C10819,4650599.32,247655.36
C06475,1753335.15,21137.47
C06475,1753335.15,63382.97
C07990,1479956.97,63943.94
C03120,4499746.11,21802.77
C03120,4499746.11,253545.02
C03120,4499746.11,322341.24
C06604,2704510.75,87644.16
C06604,2704510.75,228513.79
C02092,534643.76,-97505.45
C09659,3300259.96,53174.74
C09659,3300259.96,226362.84
C10801,3612344.97,183741.57
C03974,3956220.58,-499906.4
C03974,3956220.58,105055.69
C05149,3502378.03,12717.1
C05149,3502378.03,165099.28
C03044,2733881.0,119565.34
C02428,1109831.25,47418.36
C06185,1681657.48,-411477.32
C06185,1681657.48,117706.71
C06185,1681657.48,129077.6
C09755,2620475.92,64007.7
C10017,1975425.17,131202.62
C04483,2917677.11,103525.5
C03642,1796634.73,61959.92
C08373,653563.89,-114201.02
C00914,4307471.28,408192.07
C00900,4165216.27,277593.91
C02436,4613591.79,383531.05
C02436,4613591.79,445222.12
C10684,4843442.11,81827.09
C10684,4843442.11,180267.13
C08538,3799979.64,200491.54
C07732,3982576.81,43.75
C07732,3982576.81,75613.7
C04589,4839839.0,98941.22
C04589,4839839.0,226599.77
C04255,4941923.52,350080.24
C04255,4941923.52,444779.12
C04592,4972447.03,99457.37
C05393,2619880.06,145230.04
C02083,2098597.36,33200.32
C02083,2098597.36,97314.34
C10778,4976264.26,101946.16
C06974,2300773.74,148858.46
C09495,3149407.47,106679.04
C10478,1654641.16,94910.5
C05841,4379973.09,-173936.99
C05841,4379973.09,117357.95
C11243,1824692.02,108301.86
C08544,1076773.96,20287.52
C08544,1076773.96,77361.95
C05539,2203642.97,144812.76
C09886,4718917.72,130823.6
C09886,4718917.72,215690.19
C09886,4718917.72,333100.61
C09886,4718917.72,365882.28
C09077,2789762.17,150644.23
C08443,3005013.39,-107443.59
C08443,3005013.39,113162.78
C02559,1672885.05,-225895.92
C05828,2215309.59,101284.56
C08184,4744212.61,368945.57
C01520,3097704.86,-30728.34
C01520,3097704.86,9489.83
C06153,4243123.05,194898.82
C06153,4243123.05,290532.06
C03070,2974204.89,12333.15
C01293,3187061.32,57068.33
C07915,1842659.54,49599.46
C07651,4490564.67,406304.63
C09629,3782713.28,98534.5
C09629,3782713.28,357874.62
C06429,3278650.69,51729.47
C00801,1389544.89,9825.1
C00801,1389544.89,41719.19
C07539,773140.33,-335808.97
C06257,2160285.78,8345.84
C08917,4108545.73,372023.46
C02970,4287270.73,371201.36
C03178,1142668.54,-48107.88
C11735,1344029.68,61495.23
C02948,4625106.46,16674.08
C02948,4625106.46,90767.96
C02948,4625106.46,140226.19
C02948,4625106.46,294772.13
C08375,4910317.05,110242.02
C08375,4910317.05,289905.36
C09986,3881119.25,14550.72
C09986,3881119.25,82960.47
C11421,4084966.64,351200.29
C02028,3491437.73,-302353.36
C02028,3491437.73,6739.4
C02028,3491437.73,206312.51
C07040,809569.55,-133676.41
C08145,3737121.52,115447.96
C01522,4446739.25,252083.19
C01056,4492286.67,248516.06
C01056,4492286.67,355773.38
C09985,4406328.27,136502.35
C04358,3303963.19,279085.38
C08040,2946330.97,111014.69
C08040,2946330.97,252147.18
C04767,2422463.29,107548.42
C04767,2422463.29,191711.09
C04767,2422463.29,200198.66
C10345,2566838.38,148852.31
C10345,2566838.38,225270.5
C06804,2942070.5,184759.06
C09931,4328151.32,153928.77
C09931,4328151.32,241086.66
C05373,2082166.34,-267225.13
C07897,4090460.57,223305.31
C07897,4090460.57,281218.48
C10095,4792903.31,467198.33
C10683,2097628.99,49826.64
C10683,2097628.99,106007.25
C02977,4961372.91,347492.78
C02977,4961372.91,401836.87
C02977,4961372.91,405498.58
C10852,4605904.72,99255.57
C04395,2864989.14,143182.11
C08178,4730097.42,140158.68
C04015,2855349.89,6887.26
C04015,2855349.89,105473.51
C00487,2892184.63,153312.1
C05691,3556515.07,260876.86
C05691,3556515.07,310416.95
C08007,1918843.31,-375179.91
C08007,1918843.31,65563.36
C05898,2500650.0,31333.48
C06381,3658189.76,213777.54
C04338,2490429.57,-421121.82
C04338,2490429.57,84860.69
C11268,4995035.17,-56824.72
C09027,4215502.78,58882.46
C09027,4215502.78,261679.61
C10983,4747059.84,359595.39
C10983,4747059.84,426142.7
C02514,4898118.32,81188.09
C03777,2462623.89,21157.8
C03777,2462623.89,77994.62
C03777,2462623.89,238120.76
C08906,1470444.16,3682.62
C08906,1470444.16,113599.04
C04636,3723279.63,234082.53
C03598,3118076.26,154851.83
C03598,3118076.26,211060.74
C03598,3118076.26,279213.7
C05620,2575768.99,63396.32
C05620,2575768.99,63664.96
C11161,4221462.07,344407.55
C11161,4221462.07,407080.72
C11846,3046056.7,123918.0
C00077,3784322.64,199717.48
C11380,4832519.35,146400.6
C06946,3637247.71,6947.58
C04993,4080998.99,185833.23
C04993,4080998.99,211123.59
C04993,4080998.99,369467.46
C03922,2800810.75,126618.07
C00677,3428763.83,-431534.63
C02489,2627856.06,15650.08
C02489,2627856.06,77244.84
C11429,2332833.01,144482.46
C06146,4987564.54,148937.79
C06146,4987564.54,406877.88
C02204,4384787.29,419336.25
C02491,3042003.75,299091.9
C02564,622918.89,-354357.23
C01476,3759711.13,95104.67
C06317,2721463.96,270055.54
C06429,2374769.06,51729.47
C09664,2334526.17,85993.65
C03449,4145097.74,199017.09
C08177,2232557.7,-468070.43
C04075,1949227.27,14898.27
C09516,4669052.75,-213169.39
C09516,4669052.75,301965.38
C04135,3109777.47,309852.95
C00470,3936238.28,-66019.79
C00470,3936238.28,309895.47
C00617,2728155.85,66668.58
C01531,3346131.76,304840.96
C08130,3436094.58,302719.74
C03184,3974878.54,293545.46
C04734,1953140.66,80537.8
C04263,1450330.12,121509.39
C03815,1030959.72,89632.68
C11860,2390370.82,-243401.8
C11860,2390370.82,154407.8
C00746,3961176.67,148439.09
C00746,3961176.67,223139.36
C02813,3947269.21,98357.74
C07669,3688219.79,255261.25
C07669,3688219.79,285518.34
C10258,3517433.99,9212.02
C07202,2052374.96,-96946.98
C01020,3847563.31,68522.83
C01020,3847563.31,133476.92
C03519,3541128.38,92179.82
C01608,2843472.82,19776.56
C00156,4240811.87,390581.26
C04973,3791285.11,14312.63
C04973,3791285.11,335186.45
C03541,2707828.42,248582.76
C08622,3223480.24,114778.74
C04772,1589856.43,151227.81
C05442,4617353.86,301182.83
C05756,3426256.82,-83751.46
C05756,3426256.82,280302.14
C11743,861417.84,75711.61
C02759,1146128.15,74675.56
C07106,2887433.76,235326.29
C07938,4555530.78,189673.85
C06169,4000253.19,394704.33
C03302,3848934.21,16518.22
C03302,3848934.21,25681.64
C10179,4460720.71,11452.7
C01925,3766156.09,120720.15
C01925,3766156.09,134525.37
C09335,1746960.86,69010.17
C04403,4893159.55,56820.41
C04403,4893159.55,417849.93
C09307,4132091.49,358465.45
C03939,4946925.77,264125.32
C03939,4946925.77,293944.68
C00220,2888546.57,285388.95
C00413,1803366.75,165078.2
C05946,4512800.38,244110.87
C04870,4187492.36,234692.34
C10772,1753214.96,104653.83
C07301,3526047.24,85289.53
C07301,3526047.24,162633.41
C07301,3526047.24,209215.86
C07301,3526047.24,348849.7
C10329,207545.42,13545.95
C08720,3731297.99,71287.82
C08720,3731297.99,246987.67
C05649,4163769.21,19899.09
C05649,4163769.21,110201.87
C04985,2241813.7,196691.4
C04777,3661409.36,239385.12
C04777,3661409.36,243351.73
C04263,1309397.39,121509.39
C03480,1999687.78,111509.52
C00141,4622823.31,78742.13
C00141,4622823.31,257815.14
C00141,4622823.31,417648.39
C00141,4622823.31,419991.97
C11572,4407192.53,224247.1
C11572,4407192.53,248101.49
C06787,4351052.57,180021.26
C08243,3914479.14,56441.76
C08243,3914479.14,95344.77
C08243,3914479.14,120036.46
C08963,1975825.02,115421.04
C09257,795440.8,72589.14
C11714,4925898.29,385031.24
C11714,4925898.29,427002.04
C04050,3477464.96,86068.83
C09326,4357723.21,130133.29
C09466,-835962.71,-203262.44
C09032,2275450.92,137267.53
C00338,2302296.18,198652.5
C04701,1007314.42,80144.27
C05794,3731487.38,102899.04
C05794,3731487.38,310511.57
C00849,1595676.57,-255822.24
C05488,3804988.24,104268.68
C08488,2739655.32,78416.37
C08488,2739655.32,266786.87
C02213,2279578.86,149851.49
C08851,2726566.11,63367.84
C08851,2726566.11,139144.35
C08851,2726566.11,203669.39
C07908,1991113.23,19611.34
C01433,4289372.21,106562.33
C01433,4289372.21,170306.0
C01433,4289372.21,371086.16
C04935,3731878.23,339503.32
C06979,3051693.21,75621.47
C06979,3051693.21,119166.6
C06979,3051693.21,299933.34
C02952,4461111.27,54286.86
C05503,4329615.19,-358933.91
C05503,4329615.19,39624.11
C05503,4329615.19,241084.94
C08472,3960282.17,213917.2
C08472,3960282.17,367600.76
C01526,3272040.27,128772.77
C01526,3272040.27,325655.04
C07471,4795944.81,108273.76
C07471,4795944.81,144467.6
C07471,4795944.81,473056.92
C02386,3689280.23,228807.04
C02290,2434266.87,145297.53
C07022,1316182.22,26927.6
C07022,1316182.22,120390.41
C09694,2720789.46,120622.2
C06401,3699260.29,234771.16
C06891,3521148.01,8469.87
C03140,3064347.33,77713.82
C08840,4893672.01,310232.14
C08840,4893672.01,340363.99
C01452,1127315.46,61375.93
C05604,4051096.93,149307.04
C05604,4051096.93,291827.47
C05585,2387275.06,113565.06
C05585,2387275.06,233579.24
C09420,4729959.29,133581.89
C09420,4729959.29,417097.88
C06307,4727124.48,407091.7
C09065,2104794.71,42340.34
C08294,2113307.21,96750.9
C05078,4141078.13,126285.69
C05078,4141078.13,149935.61
C06634,2545885.77,195083.51
C06634,2545885.77,237944.23
C04283,4193862.74,191623.49
C08888,3008462.92,174279.56
C07932,4065263.41,4367.02
C07932,4065263.41,12451.31
C07575,3610274.31,122810.18
C07575,3610274.31,187412.18
C11801,3258161.37,196310.69
C10242,2041633.77,116239.31
C04417,4313640.22,33314.11
C04417,4313640.22,183362.93
C00562,3315445.26,275710.9
C00556,3298049.93,232682.86
C01608,4544563.27,19776.56
C01608,4544563.27,297337.42
C01608,4544563.27,336292.48
C01608,4544563.27,402887.13
C08773,4681252.35,307795.88
C00665,4088038.91,358314.01
C00665,4088038.91,362050.78
C07768,1207885.43,13515.64
C05536,1699039.37,3642.97
C05536,1699039.37,16495.96
C11136,4083978.06,174299.03
C11478,2944671.72,8938.39
C11478,2944671.72,152834.79
C01535,1790313.87,148460.46
C06572,4174509.36,-283942.38
C06572,4174509.36,173123.59
C00931,4888961.39,223731.34
C00931,4888961.39,470040.1
C07489,1370429.5,32519.35
C00849,1521549.3,-255822.24
C09002,1711823.02,43593.62
C09002,1711823.02,84298.64
C09002,1711823.02,150661.03
C07772,3179756.38,160086.33
C07772,3179756.38,312546.19
C08617,2144653.07,89559.36
C07618,2528777.38,158799.96
C09788,4829248.27,378204.99
C02930,4904267.93,224078.48
C02930,4904267.93,269445.46
C09471,2855172.03,93867.21
C00648,703841.79,-393385.84
C08408,4501279.06,129899.04
C11432,1822428.77,23129.61
C04981,3242195.82,159443.42
C04981,3242195.82,225253.17
C04981,3242195.82,230943.64
C11364,3599420.12,-202441.78
C05179,4297441.68,176682.52
C05179,4297441.68,408431.65
C08443,4278951.74,-107443.59
C08443,4278951.74,113162.78
C08443,4278951.74,346824.13
C08443,4278951.74,413067.45
C00490,4252707.52,21923.57
C05260,4092451.62,140385.23
C09809,3061339.5,14966.49
C00207,1164646.72,108691.72
C04015,934527.72,6887.26
C06544,1243655.98,65875.9
C03198,4589276.01,415182.27
C04147,1048605.44,2506.96
C02475,4811614.52,366851.33
C10521,2789350.57,187581.42
C03236,2720012.29,118289.71
C03236,2720012.29,142307.57
C11575,3296470.91,60123.15
C11678,1636680.18,-406416.75
C05915,4073249.46,124492.83
C05915,4073249.46,232298.72
C05915,4073249.46,307624.44
C04933,4492342.26,53246.3
C09746,3896100.23,372984.31
C04266,3378206.69,121701.23
C04266,3378206.69,128560.77
C04266,3378206.69,301917.61
C10132,4452782.4,75190.25
C10132,4452782.4,373245.01
C01182,654134.22,21114.03
C11574,3179614.45,165334.61
C11955,2384618.18,135621.27
C05045,2271000.26,110128.27
C01427,1972171.94,58244.26
C06693,3888768.32,189168.56
C09148,4690467.41,425120.71
C08037,3147471.29,280358.03
C09424,4430788.69,213771.11
C11716,4550590.29,185911.81
C11716,4550590.29,435330.22
C00257,1523629.22,88457.02
C07246,3393797.05,205551.7
C00562,3364314.03,275710.9
C11997,3630454.96,253525.08
C09344,1199458.6,45142.3
C03418,4681265.16,350807.23
C07026,3933999.32,5903.68
C07026,3933999.32,158598.16
C07702,1658317.54,103556.76
C07702,1658317.54,104211.69
C09795,2044214.82,68117.64
C00170,3514856.16,18142.18
C00170,3514856.16,189840.62
C00412,2847770.91,58959.13
C04902,4271937.22,-336508.85
C04902,4271937.22,329187.65
C01914,2258541.06,125678.96
C10646,4119697.52,249101.26
C03199,284097.39,25293.0
C00022,1905473.25,21969.81
C00022,1905473.25,22423.79
C08667,3547869.2,138117.41
C08667,3547869.2,260143.6
C11786,420167.14,14852.93
C07214,3899820.02,93548.72
C07214,3899820.02,192891.04
C07214,3899820.02,378369.82
C04569,2875521.12,231525.49
C08895,2993703.44,76361.57
C08895,2993703.44,276595.07
C03303,4670260.96,151382.33
C05351,3096243.76,134497.23
C05351,3096243.76,171362.48
C06439,1790043.99,171729.17
C09281,2086361.8,114688.35
C09281,2086361.8,150204.89
C00299,3410405.23,308476.99
C05031,2932991.81,83925.34
C03752,1241714.61,33849.56
C07406,3743689.65,95103.49
C09619,4435608.86,280950.88
C02712,4013624.02,230737.68
C02712,4013624.02,370744.82
C06868,1750986.63,54396.67
C06868,1750986.63,121997.04
C05912,2430598.55,181921.35
C06099,3573811.2,235801.83
C06099,3573811.2,351972.46
C10923,1213868.25,7634.68
C10923,1213868.25,49044.26
C00734,2322263.77,180954.68
C05603,2419931.05,149150.92
C07977,2745922.69,35535.72
C07977,2745922.69,113008.76
C07977,2745922.69,171674.48
C07977,2745922.69,241383.88
C07977,2745922.69,261880.68
C07737,4864196.4,-428116.56
C07737,4864196.4,130469.46
C07737,4864196.4,251094.84
C11728,2208384.75,142189.31
C11451,4013761.38,72185.78
C11451,4013761.38,220237.27
C07479,4413305.93,15722.44
C11429,3452091.93,144482.46
C04278,4708860.22,250649.3
C04278,4708860.22,298506.14
C03453,2354128.54,109993.48
C03453,2354128.54,188307.68
C03453,2354128.54,188882.92
C08692,3406239.46,196113.59
C08692,3406239.46,301079.97
C03533,4590322.65,354897.39
C09523,3782951.46,301998.44
C09523,3782951.46,318468.34
C06249,1207580.13,72646.92
C09333,2524419.4,237179.56
C00625,4760501.07,225466.11
C07829,4845812.41,227241.21
C07829,4845812.41,335326.4
C07829,4845812.41,391017.97
C07829,4845812.41,450543.96
C07829,4845812.41,470251.0
C10011,2416380.28,225897.54
C05347,2122603.65,25639.59
C07617,4661299.16,222523.18
C11480,1584238.09,114088.68
C03011,3946353.75,333931.05
C09011,2244766.78,130724.58
C05443,1576483.35,-451562.29
C05443,1576483.35,57975.03
C00373,1397288.81,124297.94
C04864,4003940.02,-229959.72
C04864,4003940.02,97322.33
C04864,4003940.02,153936.1
C02662,3995737.72,286797.39
C05413,4454681.82,182539.53
C05413,4454681.82,389179.15
C07985,3077349.67,-364464.53
C07985,3077349.67,140377.13
C05113,2759545.09,52788.64
C05113,2759545.09,194022.73
C01674,3462861.84,75452.53
C10272,3330764.58,106365.13
C08980,4945899.89,174972.22
C01675,2581347.37,224799.56
C09595,3148821.24,259336.91
C06421,4173301.0,76949.62
C02488,4023882.19,138520.14
C02488,4023882.19,187152.73
C06095,1336770.81,46274.72
C06680,3559239.44,236603.94
C06680,3559239.44,249506.54
C09964,1760671.63,35061.81
C05620,1300894.19,63396.32
C05620,1300894.19,63664.96
C01468,1934302.18,41229.83
C11080,4599095.78,161361.12
C05435,3580725.52,107576.6
C01047,1915444.41,31818.64
C07814,3916246.54,177481.25
C07814,3916246.54,221611.57
C11280,3814246.17,47949.79
C07087,4008590.06,131440.4
C01134,2497696.95,119592.28
C08163,1455743.0,31634.77
C09242,2607546.44,153654.47
