account_id,txn_date,daily_total
A00110,01-11-2024,74279.37
A00110,08-06-2025,84699.18
A00110,14-11-2024,24028.25
A00111,11-01-2025,95985.98
A00111,24-07-2024,88217.89
A00112,09-07-2025,73735.08
A00112,26-03-2026,8676.46
A00113,03-07-2025,85739.13
A00113,08-06-2025,1756.78
A00113,18-04-2025,53543.36
A00114,05-02-2025,577.72
A00114,05-06-2024,59790.96
A00114,07-02-2025,62434.03
A00114,19-07-2025,44509.14
A00114,20-11-2025,1521.25
A00114,22-10-2025,6459.44
A00114,24-07-2024,14636.62
A00114,26-02-2026,50125.88
A00115,30-04-2025,88525.8
A00116,10-07-2024,51238.4
A00116,25-10-2025,95774.85
A00117,15-01-2026,33915.06
A00118,26-07-2025,24337.78
A00118,30-01-2026,38099.73
A00118,30-06-2024,13598.55
A00119,11-05-2024,30987.13
A00119,15-09-2025,91431.44
A00120,16-10-2025,85220.4
A00121,13-07-2025,79369.62
A00122,07-12-2024,98464.82
A00122,27-04-2024,71485.27
A00123,07-12-2024,18584.75
A00123,20-03-2026,74350.48
A00123,23-01-2026,18306.66
A00123,29-07-2024,46287.21
A00124,25-06-2024,55520.49
A00124,30-08-2024,82096.67
A00125,21-07-2024,10425.31
A00126,18-07-2024,44314.46
A00127,06-08-2024,90474.71
A00127,07-07-2025,36569.31
A00127,18-09-2024,14963.08
A00127,22-02-2025,75287.94
A00128,01-10-2024,82221.25
A00128,09-12-2024,11137.92
A00128,16-07-2024,8045.58
A00128,18-01-2025,87418.1
A00128,18-02-2025,20453.46
A00128,31-05-2025,-89087.18
A00129,09-03-2026,2610.16
A00129,12-07-2024,61797.98
A00129,18-11-2024,84092.25
A00130,01-10-2024,59950.7
A00131,03-08-2024,86767.07
A00131,04-11-2025,36130.97
A00131,18-02-2026,58309.88
A00131,21-10-2025,72510.75
A00131,29-09-2024,36104.17
A00132,04-07-2025,51188.36
A00133,04-12-2025,43554.13
A00133,05-06-2024,77235.8
A00133,06-04-2026,76089.23000000001
A00133,25-05-2024,47491.05
A00133,28-10-2024,62826.21
A00134,04-05-2025,30666.03
A00134,23-09-2024,67132.62
A00135,07-02-2025,2743.86
A00135,19-06-2025,16172.29
A00135,28-03-2026,91847.75
A00136,17-01-2026,12273.74
A00138,30-11-2025,34084.74
A00139,24-04-2026,26936.83
A00139,28-06-2024,50891.39
A00140,06-04-2026,83483.29
A00140,10-08-2024,88765.3
A00140,18-04-2026,14166.73
A00140,27-04-2024,19150.12
A00140,31-03-2026,82166.85
A00141,04-05-2024,61894.88
A00141,08-05-2025,17592.02
A00141,09-04-2025,93334.5
A00141,15-05-2025,59635.19
A00141,26-09-2025,17886.53
A00142,03-07-2024,18414.76
A00142,14-03-2025,72353.26
A00142,17-01-2025,16929.98
A00142,21-03-2026,78624.67
A00142,22-10-2025,71572.96
A00143,03-08-2024,92343.07
A00143,28-06-2024,63570.65
A00145,08-05-2025,92933.03
A00145,10-11-2025,36824.07
A00145,17-09-2025,66127.62
A00145,17-11-2025,40390.47
A00145,25-08-2025,81488.44
A00145,29-12-2024,63181.71
A00145,31-01-2025,5901.42
A00146,16-08-2025,45593.97
A00146,24-04-2025,4111.87
A00146,25-08-2025,42449.04
A00146,31-01-2026,13681.51
A00147,01-11-2025,40674.62
A00147,03-07-2025,20049.41
A00147,09-04-2025,74361.68
A00148,04-10-2025,68953.9
A00148,23-09-2025,8791.37
A00149,03-05-2025,27943.68
A00149,09-01-2026,52901.02
A00149,09-05-2025,55112.06
A00149,10-09-2024,15603.38
A00149,10-10-2024,73462.15
A00149,16-08-2024,20073.7
A00149,21-01-2025,48935.26
A00149,22-01-2026,35891.01
A00149,28-07-2024,93590.41
A00150,04-10-2025,58309.12
A00150,12-04-2025,83165.23
A00150,20-09-2024,69370.51
A00150,20-10-2025,7393.71
A00150,26-04-2025,67342.21
A00151,08-06-2025,29483.11
A00151,19-09-2025,85717.22
A00151,26-03-2025,71520.56
A00152,10-06-2024,73177.62
A00153,06-06-2024,68034.33
A00153,07-04-2026,9525.22
A00153,15-07-2024,10542.44
A00153,19-10-2025,82550.74
A00153,23-04-2026,85896.45
A00153,24-04-2026,11512.23
A00154,22-08-2024,49425.28
A00155,16-01-2026,82591.22
A00155,28-01-2026,55888.01
A00156,03-11-2025,3469.72
A00156,17-09-2024,9713.87
A00156,26-06-2024,38449.38
A00157,11-04-2026,53830.27
A00157,14-04-2025,6495.04
A00157,19-05-2024,29493.33
A00157,20-10-2024,44662.62
A00157,20-11-2025,72865.57
A00157,23-10-2024,69644.95
A00157,30-04-2025,95689.8
A00157,30-06-2025,57174.33
A00158,28-11-2024,55354.5
A00159,01-10-2025,20261.44
A00159,04-05-2024,58306.83
A00159,11-12-2024,24891.89
A00159,20-08-2024,91552.23
A00160,13-10-2025,6246.49
A00161,08-03-2026,15331.27
A00161,12-09-2024,41530.79
A00161,26-09-2024,55509.45
A00161,30-04-2025,68088.74
A00161,30-07-2025,43297.58
A00162,12-04-2026,17483.65
A00162,16-08-2025,91343.01
A00163,17-07-2025,31378.68
A00163,26-07-2024,16002.1
A00164,07-10-2024,36977.1
A00165,06-12-2025,37198.67
A00165,17-12-2024,96759.08
A00165,21-03-2026,4670.1
A00165,22-04-2025,65993.57
A00166,14-06-2025,21605.81
A00167,10-09-2024,6328.95
A00167,11-05-2024,46166.19
A00167,17-08-2024,72420.7
A00168,16-02-2026,33453.9
A00168,26-05-2024,1789.82
A00169,04-01-2025,59502.38
A00169,23-03-2026,32606.24
A00169,26-01-2025,47837.73
A00170,03-02-2026,69555.74
A00170,21-12-2024,56807.86
A00170,22-04-2026,38096.34
A00170,28-02-2026,50381.8
A00170,30-08-2025,-13180.76
A00171,14-06-2025,67078.24
A00171,15-01-2025,15634.0
A00171,24-02-2026,-97580.46
A00172,01-11-2024,88350.45
A00172,11-08-2024,84906.13
A00173,22-11-2025,10590.59
A00174,23-03-2026,6476.57
A00174,24-09-2024,6070.38
A00174,25-01-2025,68535.29
A00175,07-01-2025,98963.04
A00175,15-05-2025,39183.76
A00177,21-07-2024,11095.83
A00177,25-06-2025,92695.05
A00177,25-07-2025,80307.66
A00178,09-05-2025,10273.89
A00178,14-11-2024,31683.53
A00178,25-11-2024,24597.13
A00179,04-06-2024,81792.47
A00179,05-04-2026,68248.81
A00179,11-08-2025,3787.74
A00180,01-11-2025,69340.47
A00180,06-05-2024,2934.86
A00180,06-08-2024,17187.03
A00180,12-02-2026,63714.42
A00180,14-10-2025,91576.79
A00181,02-09-2024,57077.22
A00181,03-06-2024,98156.31
A00181,15-07-2025,84695.55
A00182,04-10-2024,11245.73
A00182,06-07-2025,15010.66
A00182,09-08-2025,90786.64
A00182,20-03-2025,428.37
A00182,25-02-2026,71016.76
A00183,02-07-2024,40673.51
A00183,12-11-2024,46977.87
A00183,13-03-2026,15104.78
A00183,18-07-2024,19779.92
A00183,20-01-2025,70357.67
A00185,11-01-2025,87338.11
A00185,13-12-2024,37245.63
A00186,18-05-2024,68924.7
A00187,03-03-2025,62058.93
A00187,17-11-2024,61872.02
A00187,22-09-2024,34358.38
A00187,28-02-2025,61115.09
A00188,01-09-2024,76645.71
A00190,01-02-2026,23972.06
A00190,15-10-2025,71437.05
A00190,17-09-2025,50530.32
A00190,19-02-2026,38471.26
A00190,25-08-2025,73883.77
A00191,01-09-2025,27376.6
A00191,06-06-2025,78282.84
A00193,10-05-2025,81622.96
A00193,15-04-2026,22514.77
A00194,05-02-2026,14369.22
A00194,10-04-2025,68751.29
A00195,07-08-2024,54552.62
A00196,19-07-2024,54104.91
A00196,27-01-2026,92713.97
A00197,03-06-2024,8392.03
A00197,04-07-2024,70578.08
A00197,14-01-2026,95299.87
A00197,18-10-2024,37717.93
A00198,03-05-2024,19933.11
A00198,18-01-2025,65016.97
A00198,21-04-2026,3141.39
A00199,23-08-2025,99718.74
A00200,14-09-2025,84135.18
A00200,27-01-2025,20768.47
A00201,18-02-2026,40044.47
A00202,07-08-2024,62517.46
A00203,24-05-2024,84396.42
A00203,28-06-2025,65935.14
A00204,09-03-2025,72593.25
A00204,15-12-2025,5951.56
A00204,21-02-2025,4037.97
A00204,26-09-2025,800.55
A00205,09-12-2025,21510.85
A00205,16-09-2025,19041.71
A00206,16-10-2025,35005.79
A00206,30-01-2025,93860.94
A00207,18-08-2025,27536.44
A00207,21-10-2024,55555.19
A00207,25-05-2024,34471.9
A00207,29-10-2025,78931.91
A00207,31-05-2024,37855.57
A00208,01-11-2025,98218.79
A00208,14-04-2025,35476.07
A00208,22-08-2025,81858.96
A00209,11-02-2026,53997.55
A00209,26-11-2025,-22493.47
A00210,04-07-2024,32414.44
A00210,13-03-2026,8717.15
A00210,17-12-2024,41139.04
A00210,19-12-2024,30564.15
A00210,29-03-2026,2897.71
A00211,13-06-2024,43672.53
A00211,24-05-2025,50767.5
A00212,03-07-2024,23831.38
A00212,18-02-2026,49033.78
A00213,09-12-2024,1264.13
A00213,28-07-2024,-86299.13
A00214,11-04-2025,27661.49
A00214,12-02-2026,31332.83
A00215,08-05-2024,16818.47
A00215,14-04-2025,74141.26
A00216,15-12-2024,38408.79
A00216,23-08-2025,30997.74
A00217,17-11-2025,17209.53
A00217,29-04-2025,83752.19
A00218,04-01-2026,92360.87
A00218,07-08-2025,-9237.74
A00218,31-03-2026,90672.49
A00219,11-10-2024,27007.5
A00219,18-11-2025,8712.37
A00219,20-12-2025,85783.22
A00220,01-06-2024,35427.25
A00220,03-03-2026,75082.27
A00220,11-05-2024,-28252.03
A00220,28-05-2024,73789.54
A00220,28-06-2025,2720.36
A00220,29-09-2025,67397.8
A00220,30-06-2024,6469.63
A00221,22-06-2024,80725.65
A00221,30-07-2024,75563.79
A00222,10-10-2024,27534.96
A00223,05-01-2026,93020.11
A00223,10-08-2024,29011.23
A00224,06-04-2026,83384.88
A00224,16-01-2026,40477.47
A00224,31-03-2025,14238.89
A00225,01-08-2025,77623.77
A00225,01-12-2024,65678.39
A00225,21-02-2025,47591.07
A00225,24-02-2025,53351.81
A00226,31-07-2024,81418.52
A00227,16-05-2025,31374.5
A00227,23-06-2024,3039.31
A00228,10-10-2025,9366.64
A00228,17-05-2025,71743.47
A00228,23-04-2026,93989.4
A00228,31-01-2026,13640.94
A00229,15-12-2025,38421.76
A00230,01-08-2025,93022.77
A00230,07-04-2026,69517.1
A00230,07-09-2024,44188.85
A00230,08-10-2024,84225.65
A00230,20-04-2026,92505.3
A00230,31-07-2024,40768.88
A00231,22-11-2024,84028.75
A00233,05-05-2024,67190.89
A00233,05-12-2024,54393.64
A00233,30-08-2024,49187.0
A00235,01-02-2025,57084.48
A00235,07-09-2024,98014.16
A00235,08-12-2025,53370.59
A00235,21-03-2026,-34764.94
A00236,03-08-2024,77522.58
A00236,16-04-2025,29616.4
A00236,20-03-2025,59870.0
A00236,23-10-2024,49082.81
A00237,07-02-2025,82199.32
A00237,18-06-2024,96030.02
A00238,14-02-2026,94813.02
A00238,17-09-2025,63254.44
A00238,25-09-2025,31906.08
A00239,12-10-2025,13159.72
A00240,06-11-2025,687.26
A00240,07-07-2025,86564.73
A00240,07-12-2024,85416.74
A00241,12-06-2025,60367.59
A00241,31-05-2025,37567.18
A00243,10-06-2025,54117.8
A00243,30-04-2024,17418.89
A00243,31-01-2025,83823.41
A00244,01-01-2025,72285.91
A00244,15-04-2026,88025.97
A00244,27-04-2026,82610.88
A00245,01-02-2026,25207.95
A00245,05-08-2024,74797.7
A00245,24-06-2025,6348.24
A00246,10-07-2025,31095.3
A00246,22-08-2024,33175.59
A00247,30-04-2024,93469.96
A00248,08-02-2026,65255.2
A00248,12-02-2025,78416.9
A00248,12-08-2025,72722.8
A00248,12-10-2024,50153.72
A00248,23-04-2025,58786.25
A00248,27-09-2024,76755.89
A00249,06-04-2025,10178.79
A00249,08-10-2025,15197.06
A00249,12-09-2025,15484.38
A00249,20-12-2025,13563.46
A00249,25-01-2025,36484.65
A00250,29-11-2024,40367.96
A00251,16-03-2025,88744.17
A00252,01-08-2025,42409.98
A00252,04-08-2024,23438.9
A00252,27-07-2024,59930.24
A00253,02-05-2024,15317.67
A00253,03-10-2024,53642.07
A00253,11-08-2025,62189.12
A00253,14-08-2025,95049.02
A00256,05-06-2024,51916.12
A00256,11-10-2025,76044.52
A00256,29-03-2025,51583.79
A00257,02-02-2026,28825.55
A00258,16-08-2025,88294.67
A00258,28-10-2024,18888.06
A00259,14-05-2024,19661.59
A00259,25-01-2026,90190.91
A00260,01-08-2025,70014.99
A00260,21-10-2024,73113.53
A00261,03-06-2025,32264.51
A00261,06-03-2025,70932.64
A00261,25-12-2024,56099.3
A00262,07-12-2025,99482.68
A00262,16-07-2024,88934.77
A00262,17-11-2024,84200.98
A00262,22-01-2026,65411.79
A00262,24-02-2026,22865.73
A00263,08-05-2024,86082.64
A00263,19-08-2024,2869.55
A00264,18-05-2024,98618.03
A00266,06-10-2025,76666.76
A00266,23-07-2025,11.7
A00266,30-09-2024,9495.37
A00267,23-07-2025,50600.2
A00268,14-08-2025,14978.95
A00268,14-12-2024,22732.08
A00268,24-12-2025,69910.27
A00269,01-11-2025,45537.45
A00269,10-11-2025,21007.09
A00269,13-12-2024,1054.31
A00269,16-09-2024,47302.1
A00269,20-10-2025,79538.55
A00269,25-07-2024,30901.27
A00270,07-02-2026,5317.49
A00271,17-07-2024,49596.6
A00271,27-08-2024,94918.33
A00272,30-11-2024,31445.48
A00272,31-01-2025,43877.54
A00273,03-02-2026,59860.94
A00273,19-04-2026,42762.56
A00274,07-02-2025,91086.19
A00274,17-08-2024,83832.9
A00274,25-10-2025,11144.29
A00274,27-01-2026,36469.25
A00275,14-05-2025,2360.89
A00275,20-06-2024,39896.4
A00275,23-09-2025,97656.18
A00276,21-11-2024,24432.56
A00277,10-07-2024,49585.62
A00277,12-03-2026,4391.54
A00277,18-03-2026,84031.3
A00278,09-05-2024,33294.0
A00278,12-08-2024,62633.0
A00278,14-08-2025,85730.61
A00279,03-07-2024,21713.75
A00279,05-04-2025,14743.44
A00279,11-04-2026,61556.57
A00280,01-02-2025,29159.67
A00280,02-11-2025,47723.43
A00280,10-03-2025,69560.59
A00280,20-07-2025,72854.63
A00282,02-11-2024,9947.43
A00282,02-12-2024,45423.84
A00282,05-10-2025,49479.45
A00282,10-09-2024,38380.73
A00282,23-09-2024,30548.73
A00282,27-09-2025,47192.98
A00282,28-07-2024,18522.04
A00282,29-04-2025,-36972.89
A00283,08-08-2024,80917.68
A00283,11-10-2024,46938.33
A00283,12-11-2024,56131.24
A00284,02-12-2024,-30706.34
A00284,10-08-2024,42825.82
A00284,16-06-2025,99235.84
A00284,18-06-2024,45376.21
A00284,25-10-2024,61551.27
A00285,15-07-2024,82463.23
A00285,22-07-2024,85676.32
A00285,24-05-2024,52050.39
A00286,02-03-2026,60855.06
A00286,08-04-2025,46747.76
A00286,09-09-2024,34272.76
A00286,20-02-2026,7335.16
A00288,09-08-2025,88438.72
A00288,25-05-2024,98511.01
A00289,06-08-2024,2754.01
A00289,10-03-2026,17938.49
A00289,18-07-2025,86455.59
A00289,18-11-2025,73616.32
A00289,31-12-2025,80905.28
A00290,28-03-2026,4939.38
A00290,31-08-2024,77738.84
A00291,20-03-2025,57177.63
A00292,02-01-2026,22668.12
A00292,12-07-2025,35060.39
A00292,14-08-2024,15129.59
A00292,15-06-2025,68318.28
A00292,27-03-2026,36939.39
A00293,02-04-2026,7074.93
A00293,13-07-2024,91690.89
A00293,19-06-2024,56606.07
A00294,22-08-2025,57290.58
A00294,29-10-2024,46139.73
A00295,02-01-2026,71151.9
A00295,02-02-2025,65378.71
A00295,11-07-2024,94694.5
A00295,27-03-2025,39747.31
A00296,01-07-2024,6308.65
A00296,13-08-2024,62195.94
A00296,29-04-2025,39133.18
A00298,01-03-2026,69349.11
A00298,06-09-2024,15471.21
A00298,09-09-2025,72026.13
A00298,12-05-2024,72282.4
A00298,16-08-2024,71112.21
A00298,28-08-2024,99160.63
A00299,26-01-2026,83484.72
A00299,26-09-2024,97289.06
A00301,08-01-2025,78570.67
A00301,24-05-2024,21509.54
A00302,13-04-2026,2709.19
A00302,30-05-2025,63050.3
A00303,05-07-2025,19652.49
A00303,17-02-2026,2103.94
A00304,07-08-2024,4047.67
A00304,07-12-2025,48074.0
A00304,17-04-2026,31039.8
A00306,18-11-2024,30020.91
A00307,07-12-2025,2966.03
A00307,28-02-2026,27063.45
A00308,07-04-2026,92134.2
A00309,30-12-2025,3522.81
A00310,03-08-2024,53744.76
A00310,15-11-2024,73111.7
A00310,24-06-2024,70677.29
A00310,30-01-2026,48431.76
A00311,22-08-2025,-14593.66
A00311,26-06-2024,54107.37
A00311,27-07-2025,9671.91
A00313,24-06-2024,33584.31
A00314,23-11-2024,98858.46
A00314,29-01-2026,18352.33
A00314,29-05-2024,60909.63
A00315,06-08-2024,8684.65
A00315,11-02-2026,20117.72
A00315,13-09-2024,56333.02
A00315,17-12-2024,34474.73
A00315,19-05-2024,40405.45
A00315,21-08-2025,60796.86
A00315,23-08-2024,26658.01
A00316,06-12-2025,84377.6
A00316,22-07-2025,44652.02
A00317,05-01-2026,81312.42
A00317,05-10-2025,21290.51
A00317,24-12-2025,56822.53
A00318,07-06-2025,20855.93
A00318,10-04-2025,24515.86
A00319,16-03-2025,46497.16
A00319,16-07-2025,24914.77
A00319,19-06-2025,96625.44
A00320,09-04-2025,39460.07
A00320,25-01-2025,61939.77
A00321,17-01-2026,51452.22
A00321,17-10-2025,85180.38
A00322,04-03-2025,95179.59
A00322,16-06-2025,14775.8
A00323,03-11-2025,48189.45
A00323,04-01-2026,14223.5
A00323,05-05-2024,63581.66
A00323,07-11-2024,35044.02
A00324,13-07-2025,9095.78
A00324,19-06-2024,52931.17
A00325,15-05-2024,66724.54
A00325,20-10-2024,51769.52
A00325,24-01-2026,33532.43
A00325,29-04-2024,73785.44
A00325,30-10-2024,93650.2
A00326,14-05-2025,11465.74
A00326,21-10-2024,68279.27
A00326,30-01-2026,51226.43
A00327,05-12-2025,62315.13
A00328,07-06-2025,94891.57
A00328,08-02-2026,19611.41
A00328,14-08-2024,12277.44
A00328,14-08-2025,48500.5
A00328,26-11-2024,56766.72
