txn_id,account_id,txn_date,txn_type,amount,channel
T000237,A14912,13-12-2024,Debit,12978.46,IMPS
T000238,A13460,24-01-2026,Credit,84019.34,ATM
T000239,A10918,29-03-2025,Credit,50591.18,ATM
T000240,A00617,11-12-2024,Credit,47349.03,UPI
T000241,A99999,11-10-2025,Debit,71474,UPI
T000242,A03266,03-05-2024,Credit,5585.17,ATM
T000243,A09424,03-07-2025,Debit,35104.81,UPI
T000244,A05411,26-03-2025,Debit,20151.15,ATM
T000245,A01449,24-11-2024,Credit,76083.49,NEFT
T000246,A11290,27-07-2025,Credit,48806.85,ATM
T000247,A13980,01-07-2025,Debit,16809.6,IMPS
T000248,A02501,16-03-2025,Credit,30707.1,NEFT
T000249,A05582,31-08-2025,Debit,38118.67,ATM
T000250,A10578,15-08-2025,Credit,33716.56,IMPS
T000251,A08420,10-01-2026,Debit,63437.51,UPI
T000252,A10680,23-01-2026,Debit,55405.69,IMPS
T000253,A03674,29-07-2024,Credit,-52929.66,UPI
T000254,A07319,01-05-2025,Debit,64948.41,UPI
T000255,A11920,08-04-2025,Debit,-36865.29,ATM
T000256,A06634,17-11-2025,Credit,75692.09,ATM
T000257,A09318,15-09-2025,Debit,90279.06,NEFT
T000258,A10055,08-01-2026,Credit,89965.1,ATM
T000259,A01059,14-04-2025,Debit,9284.04,ATM
T000260,A01952,24-05-2025,Debit,-77970.66,NEFT
T000261,A07576,22-12-2025,Credit,43818.82,NEFT
T000262,A01717,17-11-2025,Debit,20186.44,ATM
T000263,A09860,25-08-2025,Debit,28230.43,ATM
T000264,A02520,13-10-2025,Debit,87158.73,UPI
T000265,A00808,21-08-2025,Debit,24873.6,ATM
T000266,A03204,26-07-2024,Debit,32178.1,ATM
T000267,A02165,01-06-2025,Debit,80485.49,UPI
T000268,A14444,11-03-2026,Debit,11469.14,UPI
T000269,A03896,22-01-2026,Debit,10822.63,IMPS
T000270,A12837,13-07-2025,Debit,49788.93,UPI
T000271,A12601,02-05-2024,Debit,98579.03,NEFT
T000272,A01001,25-10-2024,Debit,39008.28,ATM
T000273,A04519,27-04-2024,Debit,79091.27,UPI
T000274,A11080,07-10-2024,Credit,50753.63,IMPS
T000275,A08345,06-11-2025,Debit,26173.49,ATM
T000276,A05077,14-10-2024,Debit,98924.08,UPI
T000277,A08658,16-08-2025,Credit,13983.97,UPI
T000278,A10612,06-05-2024,Credit,15141.41,IMPS
T000279,A09094,04-06-2024,Debit,6737.27,NEFT
T000280,A01331,15-04-2026,Debit,5852.79,IMPS
T000281,A08590,31-07-2024,Debit,98590.36,IMPS
T000282,A07902,05-04-2026,Credit,1498.75,NEFT
T000283,A99999,14-03-2026,Debit,60150.69,UPI
T000284,A10384,16-10-2024,Debit,83564.26,NEFT
T000285,A01254,01-10-2024,Credit,13026.84,IMPS
T000286,A10311,17-09-2024,Credit,92595.18,NEFT
T000287,A06999,15-06-2025,Credit,80919.06,NEFT
T000288,A13198,07-06-2024,Credit,61930.29,ATM
T000289,A03802,09-02-2025,Credit,86893.49,UPI
T000290,A00351,06-07-2024,Debit,6121.19,UPI
T000291,A10133,13-03-2025,Credit,53990.59,ATM
T000292,A00165,06-12-2025,Credit,37198.67,IMPS
T000293,A05500,13-01-2025,Credit,28280.91,ATM
T000294,A00744,28-10-2025,Credit,23806.9,ATM
T000295,A12360,14-11-2025,Credit,77990.11,ATM
T000296,A14815,07-06-2025,Credit,77300.74,NEFT
T000297,A05260,31-10-2024,Debit,77225.72,NEFT
T000298,A08443,27-07-2025,Debit,58160.24,UPI
T000299,A11234,23-09-2024,Credit,79415.8,NEFT
T000300,A03213,21-08-2025,Debit,42695.53,UPI
T000301,A00323,07-11-2024,Debit,35044.02,IMPS
T000302,A12021,04-01-2026,Credit,26879.8,ATM
T000303,A08771,05-10-2025,Debit,75727.96,IMPS
T000304,A06526,11-03-2026,Debit,51500.21,IMPS
T000305,A11202,04-06-2025,Credit,37890.01,IMPS
T000306,A03317,02-11-2024,Credit,84298.74,UPI
T000307,A13733,23-01-2025,Debit,81908.03,IMPS
T000308,A05712,09-11-2024,Debit,63879.75,NEFT
T000309,A07174,01-03-2025,Credit,55106.43,NEFT
T000310,A00993,09-10-2024,Debit,-64954.92,IMPS
T000311,A13357,07-02-2026,Credit,68978.26,NEFT
T000312,A13875,27-12-2024,Credit,9297.24,NEFT
T000313,A04252,03-03-2025,Credit,4594.9,IMPS
T000314,A02699,21-10-2024,Debit,85036.38,IMPS
T000315,A05355,11-06-2024,Credit,77478.88,IMPS
T000316,A10936,29-08-2024,Credit,26190.38,UPI
T000317,A12414,26-02-2025,Credit,92849.91,ATM
T000318,A08475,12-04-2025,Credit,97009.77,UPI
T000319,A08481,09-01-2026,Credit,20988.22,ATM
T000320,A11481,17-09-2024,Debit,30857.33,NEFT
T000321,A12237,08-05-2025,Credit,99245.25,NEFT
T000322,A11245,06-10-2024,Credit,43328.2,ATM
T000323,A04126,02-08-2024,Credit,81429.19,NEFT
T000324,A13514,25-04-2025,Debit,79028.34,NEFT
T000325,A09497,05-12-2025,Debit,13698.08,IMPS
T000326,A13339,08-10-2025,Debit,67795.4,ATM
T000327,A00550,19-06-2024,Debit,87420.59,IMPS
T000328,A99999,29-10-2024,Debit,20193.84,NEFT
T000329,A02095,29-03-2025,Credit,11324.61,IMPS
T000330,A12868,04-10-2024,Debit,21519.9,UPI
T000331,A10511,09-12-2025,Credit,78857.84,IMPS
T000332,A07291,13-06-2025,Credit,77870.92,NEFT
T000333,A04278,22-09-2025,Credit,21726.34,IMPS
T000334,A10923,26-06-2024,Credit,83028.11,UPI
T000335,A09977,24-12-2024,Credit,39326.77,NEFT
T000336,A12191,21-01-2026,Credit,23389.14,ATM
T000337,A02227,18-07-2024,Debit,83559.23,UPI
T000338,A01182,27-01-2025,Credit,86342.27,ATM
T000339,A01979,09-09-2025,Credit,64039.25,UPI
T000340,A08767,10-04-2026,Debit,35345.29,IMPS
T000341,A06066,26-02-2026,Credit,1159.11,NEFT
T000342,A02033,05-04-2025,Debit,53714.61,IMPS
T000343,A05462,31-10-2024,Debit,86163.76,IMPS
T000344,A03725,19-06-2025,Debit,83853.06,NEFT
T000345,A13918,22-12-2025,Credit,60741.15,IMPS
T000346,A07861,14-07-2024,Credit,95213.49,NEFT
T000347,A01311,22-07-2025,Credit,83696.86,IMPS
T000348,A05794,12-10-2025,Debit,62860.31,UPI
T000349,A02225,17-08-2025,Debit,97201.32,ATM
T000350,A14834,02-11-2025,Credit,22767.03,UPI
T000351,A11184,21-07-2025,Credit,17801.25,ATM
T000352,A13388,09-02-2026,Debit,4628.36,NEFT
T000353,A14899,22-05-2024,Debit,39883.29,NEFT
T000354,A01222,04-01-2025,Credit,85027.88,ATM
T000355,A00944,13-08-2025,Credit,95910.51,IMPS
T000356,A12872,29-01-2026,Debit,20543.41,NEFT
T000357,A04190,22-03-2025,Credit,88396.95,ATM
T000358,A10950,30-07-2025,Debit,5381.37,IMPS
T000359,A14821,07-07-2025,Credit,82293.51,NEFT
T000360,A11736,30-04-2024,Credit,72566.37,UPI
T000361,A14144,21-04-2026,Debit,85778.33,UPI
T000362,A04477,29-05-2025,Debit,54801.09,UPI
T000363,A13250,21-01-2026,Debit,1116.2,IMPS
T000364,A09491,02-05-2024,Debit,84652.88,ATM
T000365,A03426,10-02-2026,Debit,31420.33,ATM
T000366,A01081,05-05-2024,Credit,52118.78,ATM
T000367,A01078,31-12-2025,Credit,45852.54,NEFT
T000368,A09626,20-02-2026,Credit,747.81,UPI
T000369,A11939,05-04-2025,Credit,968.98,UPI
T000370,A10850,20-12-2025,Debit,45388.03,NEFT
T000371,A12715,21-09-2024,Debit,35142.52,NEFT
T000372,A04094,28-11-2024,Debit,16524.48,UPI
T000373,A14614,05-11-2025,Credit,84704.36,NEFT
T000374,A12693,04-12-2025,Credit,52763.7,IMPS
T000375,A08371,17-03-2026,Debit,58872.74,IMPS
T000376,A04965,12-06-2024,Debit,4356.79,UPI
T000377,A02939,15-02-2025,Credit,43850.37,ATM
T000378,A13661,01-06-2024,Debit,36379.24,NEFT
T000379,A03671,28-02-2025,Credit,64300.48,NEFT
T000380,A10335,24-04-2026,Credit,5805.7,UPI
T000381,A08092,15-06-2025,Credit,13435.87,IMPS
T000382,A04277,17-10-2024,Credit,27929.4,ATM
T000383,A13648,04-09-2024,Debit,6859.18,ATM
T000384,A05174,29-09-2024,Credit,67863.81,NEFT
T000385,A08380,27-06-2025,Debit,17794.08,ATM
T000386,A01317,23-07-2025,Credit,62834.4,UPI
T000387,A04605,03-09-2024,Debit,95599.4,ATM
T000388,A09755,23-10-2024,Credit,24142.4,ATM
T000389,A03091,31-03-2026,Debit,58053.47,IMPS
T000390,A12884,06-07-2025,Credit,80100.7,UPI
T000391,A00217,29-04-2025,Debit,83752.19,ATM
T000392,A02599,12-08-2025,Debit,12513.31,NEFT
T000393,A02441,24-08-2024,Credit,41549.89,IMPS
T000394,A11245,02-03-2026,Credit,59410.18,NEFT
T000395,A10718,25-01-2026,Credit,7669.13,ATM
T000396,A00346,27-04-2026,Credit,46937.97,IMPS
T000397,A99999,03-02-2026,Credit,97014.99,NEFT
T000398,A05179,27-02-2025,Credit,97909.49,IMPS
T000399,A14576,27-02-2025,Debit,46809.3,UPI
T000400,A02345,06-08-2025,Credit,36870.85,ATM
T000401,A08758,14-05-2025,Credit,36739.88,ATM
T000402,A07245,26-06-2025,Debit,20129.46,IMPS
T000403,A07997,05-03-2025,Debit,79778.68,NEFT
T000404,A10996,07-05-2025,Credit,81269.87,IMPS
T000405,A05399,13-10-2025,Credit,15341.81,ATM
T000406,A07777,13-10-2024,Debit,40040.14,ATM
T000407,A06395,27-08-2024,Debit,37562.44,IMPS
T000408,A02294,26-02-2026,Credit,11945.33,ATM
T000409,A02183,06-10-2025,Debit,55310.66,IMPS
T000410,A03394,12-07-2025,Credit,56314.83,IMPS
T000411,A10481,29-06-2025,Debit,27434.62,NEFT
T000412,A03836,28-09-2024,Credit,84187.29,ATM
T000413,A10821,31-07-2025,Credit,47781.63,IMPS
T000414,A03856,19-02-2026,Debit,82340.12,NEFT
T000415,A03667,12-06-2024,Debit,50952.91,IMPS
T000416,A01212,10-09-2025,Debit,65231.55,IMPS
T000417,A10032,20-01-2026,Credit,21309.04,UPI
T000418,A03629,23-08-2024,Credit,21458.37,NEFT
T000419,A05786,12-01-2025,Debit,52502.55,IMPS
T000420,A14610,23-08-2024,Debit,2732.56,IMPS
T000421,A04288,24-01-2026,Credit,86466.26,NEFT
T000422,A09615,27-06-2025,Debit,66312.67,IMPS
T000423,A02339,11-05-2024,Credit,39110.9,ATM
T000424,A12826,08-02-2026,Credit,62441.89,NEFT
T000425,A05405,18-11-2025,Credit,23725.74,UPI
T000426,A01822,30-09-2025,Credit,38030.75,NEFT
T000427,A14900,28-08-2025,Credit,85569.13,ATM
T000428,A99999,31-12-2024,Debit,78454.02,NEFT
T000429,A05106,17-10-2024,Credit,12344.05,UPI
T000430,A11782,24-02-2026,Debit,55418.78,IMPS
T000431,A10586,22-03-2026,Debit,46275.98,NEFT
T000432,A13198,29-03-2025,Debit,8870.45,ATM
T000433,A04353,01-02-2026,Credit,3735.46,IMPS
T000434,A01064,23-07-2025,Debit,69236.4,NEFT
T000435,A10531,21-03-2026,Debit,19779.55,UPI
T000436,A99999,27-05-2025,Credit,83152.52,NEFT
T000437,A00710,13-04-2026,Debit,43741.31,IMPS
T000438,A14014,03-08-2025,Debit,683.27,IMPS
T000439,A05533,21-10-2024,Credit,1934.93,ATM
T000440,A13847,18-04-2026,Debit,2819.88,UPI
T000441,A09401,22-10-2025,Debit,70973.02,ATM
T000442,A10142,30-05-2025,Credit,87137.49,ATM
T000443,A01918,21-01-2026,Credit,4109.06,IMPS
T000444,A10955,30-06-2025,Credit,39474.47,IMPS
T000445,A12187,14-01-2026,Debit,40505.33,NEFT
T000446,A03069,31-07-2025,Credit,91229.58,ATM
T000447,A06883,11-03-2026,Credit,79120.71,NEFT
T000448,A07110,10-11-2024,Credit,76333.67,NEFT
T000449,A04076,07-08-2024,Credit,33712.24,NEFT
T000450,A10725,19-12-2025,Debit,53521,UPI
T000451,A11215,23-07-2024,Debit,6011.28,UPI
T000452,A09408,04-05-2025,Credit,20950.29,NEFT
T000453,A12290,10-04-2026,Credit,56437.17,IMPS
T000454,A08431,30-11-2024,Debit,9340.74,IMPS
T000455,A11318,28-02-2026,Credit,44276.87,UPI
T000456,A06010,08-01-2025,Debit,85374.38,IMPS
T000457,A13899,17-08-2024,Credit,91048.99,UPI
T000458,A13650,11-06-2025,Credit,57152.82,IMPS
T000459,A09135,19-12-2025,Credit,81160,NEFT
T000460,A07800,09-10-2024,Debit,23130.96,ATM
T000461,A12613,24-09-2024,Credit,81542.89,IMPS
T000462,A13989,23-02-2025,Credit,70888.29,IMPS
T000463,A09998,11-11-2025,Credit,37943.87,UPI
T000464,A10512,23-04-2026,Credit,50343.93,NEFT
T000465,A03503,21-09-2025,Credit,59911.87,ATM
T000466,A08420,28-04-2025,Debit,4638.81,ATM
T000467,A01206,12-04-2025,Debit,52512.8,UPI
T000468,A06036,16-09-2025,Debit,60935.49,NEFT
T000469,A07971,13-10-2024,Debit,10534.59,ATM
T000470,A08247,30-10-2025,Credit,91374.8,UPI
T000471,A05014,29-05-2024,Debit,19542.47,IMPS
T000472,A08363,05-12-2025,Credit,95208.92,IMPS
T000473,A02606,27-01-2025,Credit,12982.15,ATM
T000474,A11085,03-01-2025,Credit,33276.12,ATM
T000475,A12976,30-08-2025,Credit,42793.22,NEFT
T000476,A14621,20-12-2024,Debit,42306.61,NEFT
T000477,A00952,10-05-2025,Debit,93064.58,UPI
T000478,A07675,25-04-2025,Debit,68278.77,NEFT
T000479,A04483,17-11-2024,Debit,34385.26,UPI
T000480,A04310,19-05-2024,Debit,67537.64,UPI
T000481,A01630,21-12-2025,Debit,4058.62,IMPS
T000482,A10639,07-12-2024,Debit,78500.06,NEFT
T000483,A13387,24-12-2024,Debit,5069.71,IMPS
T000484,A09689,01-01-2026,Credit,53392.49,ATM
T000485,A13312,29-03-2026,Debit,83725.02,UPI
T000486,A07834,26-05-2025,Debit,11189.25,ATM
T000487,A07700,23-05-2024,Credit,16456.72,UPI
T000488,A14150,06-11-2025,Debit,96683.81,NEFT
